modelo;training_type;epoch;val_acc;test_acc;val_neutral;val_happiness;val_surprise;val_sadness;val_anger;val_disgust;val_fear;val_contempt;test_neutral;test_happiness;test_surprise;test_sadness;test_anger;test_disgust;test_fear;test_contempt;batch_size;sampler
VGG16;majority;32;84,6757%;85,3044%;83,5593%;94,1995%;88,5645%;72,1264%;81,6609%;40,0000%;61,6667%;37,5000%;85,3186%;94,2825%;87,3096%;75,1309%;84,0149%;50,0000%;50,0000%;20,0000%;64;weighted
VGG16;majority;20;86,0232%;85,8464%;90,8475%;95,8237%;89,7810%;61,7816%;74,3945%;32,0000%;58,3333%;31,2500%;92,5208%;95,7399%;88,8325%;59,9476%;78,8104%;56,2500%;40,6977%;13,3333%;64;none
VGG16;probability;49;86,3679%;86,5795%;85,7627%;95,1276%;90,5109%;75,5747%;78,5467%;60,0000%;66,6667%;43,7500%;88,4580%;95,0673%;89,5939%;71,4660%;84,3866%;50,0000%;52,3256%;26,6667%;64;weighted
VGG16;probability;44;87,7781%;87,8865%;89,4915%;96,0557%;90,0243%;70,6897%;82,0069%;56,0000%;71,6667%;43,7500%;91,6898%;95,9641%;90,6091%;67,8010%;87,3606%;50,0000%;54,6512%;13,3333%;64;none
VGG16;crossentropy;39;85,8978%;85,3363%;86,9492%;94,6636%;87,8345%;73,2759%;78,2007%;48,0000%;63,3333%;43,7500%;88,4580%;94,3946%;86,8020%;71,4660%;77,6952%;50,0000%;48,8372%;20,0000%;64;weighted
VGG16;crossentropy;24;87,7781%;87,2490%;88,7288%;94,1995%;90,7543%;78,7356%;82,0069%;44,0000%;68,3333%;37,5000%;90,3970%;93,7220%;89,8477%;73,2984%;85,1301%;56,2500%;54,6512%;20,0000%;64;none
VGG16;multi_target;56;85,8038%;85,0494%;85,1695%;94,7796%;88,3212%;73,8506%;82,3529%;52,0000%;61,6667%;50,0000%;86,3343%;93,2735%;87,8173%;73,0366%;85,1301%;62,5000%;39,5349%;20,0000%;64;weighted
VGG16;multi_target;24;86,3366%;86,3245%;91,6102%;95,3596%;87,3479%;64,9425%;76,4706%;32,0000%;58,3333%;18,7500%;92,5208%;94,8430%;87,3096%;63,8743%;82,8996%;37,5000%;48,8372%;6,6667%;64;none
VGG19;majority;42;85,8352%;86,1651%;85,8475%;94,5476%;90,0243%;76,1494%;76,4706%;44,0000%;61,6667%;43,7500%;87,8116%;93,8341%;89,5939%;74,8691%;81,7844%;56,2500%;51,1628%;20,0000%;64;weighted
VGG19;crossentropy;23;86,8380%;87,5359%;86,0169%;94,4316%;88,5645%;77,8736%;84,4291%;36,0000%;80,0000%;37,5000%;89,6584%;92,9372%;87,8173%;78,2723%;87,3606%;50,0000%;62,7907%;26,6667%;64;none
VGG19;crossentropy;27;85,8665%;86,4201%;84,2373%;93,9675%;91,2409%;77,5862%;78,5467%;56,0000%;71,6667%;43,7500%;88,0886%;93,6099%;89,8477%;75,3927%;81,4126%;62,5000%;55,8140%;20,0000%;64;weighted
VGG19;majority;20;86,0859%;85,3363%;86,4407%;94,7796%;87,8345%;73,2759%;82,0069%;44,0000%;66,6667%;37,5000%;87,5346%;94,7309%;87,8173%;71,2042%;83,6431%;50,0000%;37,2093%;6,6667%;64;none
VGG19;multi_target;20;84,5503%;85,8782%;86,6102%;93,9675%;88,3212%;71,8391%;74,7405%;36,0000%;45,0000%;6,2500%;89,3813%;95,0673%;88,0711%;73,8220%;78,4387%;43,7500%;36,0465%;0,0000%;64;none
VGG19;multi_target;21;83,9862%;84,0293%;83,9831%;92,2274%;90,2676%;66,0920%;79,9308%;52,0000%;66,6667%;56,2500%;86,5189%;91,8161%;90,6091%;63,8743%;83,2714%;62,5000%;47,6744%;26,6667%;64;weighted
VGG19;probability;36;86,3679%;85,4001%;86,5254%;95,2436%;89,0511%;69,5402%;84,4291%;40,0000%;70,0000%;62,5000%;87,4423%;93,9462%;87,3096%;65,9686%;85,8736%;50,0000%;62,7907%;33,3333%;64;weighted
VGG19;probability;30;86,9007%;87,0896%;89,5763%;96,1717%;87,5912%;71,8391%;79,2388%;40,0000%;60,0000%;12,5000%;91,3204%;95,7399%;88,5787%;71,2042%;79,5539%;25,0000%;55,8140%;13,3333%;64;none
ResNet18;crossentropy;23;84,0802%;83,8699%;91,0169%;92,1114%;84,1849%;58,3333%;74,7405%;36,0000%;58,3333%;37,5000%;91,4127%;92,8251%;84,0102%;55,7592%;80,2974%;37,5000%;52,3256%;13,3333%;64;none
ResNet18;crossentropy;35;83,2341%;81,5748%;86,7797%;90,8353%;86,8613%;63,7931%;74,0484%;40,0000%;66,6667%;37,5000%;86,0572%;89,7982%;87,3096%;58,9005%;76,2082%;50,0000%;47,6744%;20,0000%;64;weighted
ResNet18;majority;23;81,0091%;80,6184%;79,0678%;90,6033%;86,1314%;71,5517%;73,7024%;48,0000%;61,6667%;37,5000%;79,5014%;90,1345%;85,7868%;66,2304%;79,9257%;50,0000%;53,4884%;26,6667%;64;weighted
ResNet18;majority;28;84,7697%;83,5830%;87,9661%;90,9513%;87,5912%;70,1149%;79,5848%;36,0000%;56,6667%;37,5000%;87,3500%;90,2466%;88,8325%;66,2304%;82,8996%;25,0000%;45,3488%;13,3333%;64;none
ResNet18;multi_target;61;78,1887%;77,4307%;77,7119%;85,6148%;85,8881%;66,0920%;72,6644%;44,0000%;50,0000%;37,5000%;77,9317%;83,8565%;83,5025%;65,4450%;77,6952%;56,2500%;41,8605%;26,6667%;64;weighted
ResNet18;multi_target;51;83,2968%;82,4992%;88,1356%;94,4316%;84,4282%;61,2069%;68,8581%;44,0000%;50,0000%;25,0000%;87,1653%;92,6009%;85,0254%;61,2565%;75,0929%;50,0000%;41,8605%;20,0000%;64;none
ResNet18;probability;43;85,4904%;84,4119%;87,2034%;93,5035%;88,5645%;72,1264%;78,2007%;40,0000%;60,0000%;37,5000%;88,3657%;92,3767%;88,5787%;67,0157%;80,2974%;43,7500%;41,8605%;20,0000%;64;none
ResNet18;probability;49;82,7640%;81,9892%;84,3220%;90,8353%;88,5645%;69,8276%;69,5502%;44,0000%;63,3333%;37,5000%;83,5642%;90,6951%;88,3249%;67,0157%;76,9517%;50,0000%;41,8605%;20,0000%;64;weighted
EfficientNet;crossentropy;40;80,5077%;79,9490%;85,6780%;90,0232%;86,6180%;60,0575%;65,3979%;20,0000%;38,3333%;0,0000%;86,0572%;91,4798%;81,2183%;57,5916%;69,1450%;18,7500%;36,0465%;0,0000%;64;none
EfficientNet;crossentropy;38;74,5221%;75,2949%;69,4915%;85,6148%;85,1582%;61,2069%;68,1661%;60,0000%;60,0000%;56,2500%;70,9141%;86,9955%;82,2335%;63,0890%;72,8625%;62,5000%;51,1628%;20,0000%;64;weighted
EfficientNet;majority;35;80,6957%;80,1403%;84,9153%;91,6473%;85,6448%;59,7701%;65,0519%;20,0000%;50,0000%;0,0000%;86,7959%;90,6951%;84,0102%;57,0681%;67,2862%;25,0000%;34,8837%;6,6667%;64;none
EfficientNet;majority;45;76,1830%;76,2831%;70,6780%;86,3109%;83,4550%;70,6897%;70,9343%;44,0000%;66,6667%;50,0000%;70,4524%;86,2108%;82,7411%;67,8010%;80,6691%;50,0000%;55,8140%;20,0000%;64;weighted
EfficientNet;multi_target;36;79,9436%;79,8852%;86,0169%;89,0951%;86,3747%;55,7471%;65,0519%;24,0000%;41,6667%;0,0000%;88,3657%;87,8924%;84,2640%;55,4974%;70,6320%;18,7500%;32,5581%;0,0000%;64;none
EfficientNet;multi_target;40;76,4337%;76,1556%;74,3220%;83,4107%;86,6180%;64,9425%;72,3183%;48,0000%;56,6667%;37,5000%;73,7765%;85,3139%;83,2487%;63,3508%;76,5799%;56,2500%;47,6744%;20,0000%;64;weighted
EfficientNet;probability;38;80,5704%;79,5665%;85,9322%;90,2552%;85,8881%;57,1839%;68,5121%;24,0000%;38,3333%;0,0000%;85,0416%;90,6951%;85,0254%;54,1885%;72,1190%;12,5000%;32,5581%;0,0000%;64;none
